article_id,article_url,published_at,app_id,itunes_link
2703,http://www.apppicker.com/applists/2703/the-best-photo-organization-apps-for-iphone-and-ipad,14/01/2016 1:00,984305203,http://itunes.apple.com/app/slidebox-photo-manager-album/id984305203?mt=8&at=10laz6&ct=applist_free
2703,http://www.apppicker.com/applists/2703/the-best-photo-organization-apps-for-iphone-and-ipad,14/01/2016 1:00,825931374,https://itunes.apple.com/us/app/carousel-by-dropbox/id825931374?mt=8&at=10laz6&ct=applist_free
2703,http://www.apppicker.com/applists/2703/the-best-photo-organization-apps-for-iphone-and-ipad,14/01/2016 1:00,991346515,http://itunes.apple.com/app/moments-get-photos-you-didnt/id991346515?mt=8&at=10laz6&ct=applist_free
2703,http://www.apppicker.com/applists/2703/the-best-photo-organization-apps-for-iphone-and-ipad,14/01/2016 1:00,1055204786,http://itunes.apple.com/app/getspace-free-duplicate-photo/id1055204786?mt=8&at=10laz6&ct=applist_free
2703,http://www.apppicker.com/applists/2703/the-best-photo-organization-apps-for-iphone-and-ipad,14/01/2016 1:00,415850124,https://itunes.apple.com/us/app/photosync-wireless-photo-video/id415850124?mt=8&at=10laz6&ct=applist_paid
2703,http://www.apppicker.com/applists/2703/the-best-photo-organization-apps-for-iphone-and-ipad,14/01/2016 1:00,983313108,http://itunes.apple.com/app/picjoy-automated-photo-organizer/id983313108?mt=8&at=10laz6&ct=applist_free
2703,http://www.apppicker.com/applists/2703/the-best-photo-organization-apps-for-iphone-and-ipad,14/01/2016 1:00,496799120,http://itunes.apple.com/app/photo-album-smart-organizer/id496799120?mt=8&at=10laz6&ct=applist_free
2703,http://www.apppicker.com/applists/2703/the-best-photo-organization-apps-for-iphone-and-ipad,14/01/2016 1:00,908554734,https://itunes.apple.com/us/app/photo-file-organize-your-photos/id908554734?mt=8&at=10laz6&ct=applist_free
2703,http://www.apppicker.com/applists/2703/the-best-photo-organization-apps-for-iphone-and-ipad,14/01/2016 1:00,765359021,https://itunes.apple.com/us/app/wetransfer/id765359021?mt=8&at=10laz6&ct=applist_free
2703,http://www.apppicker.com/applists/2703/the-best-photo-organization-apps-for-iphone-and-ipad,14/01/2016 1:00,621574163,http://itunes.apple.com/app/amazon-photos-cloud-drive/id621574163?mt=8&at=10laz6&ct=applist_free
2703,http://www.apppicker.com/applists/2703/the-best-photo-organization-apps-for-iphone-and-ipad,14/01/2016 1:00,example bad ID,http://itunes.apple.com/app/amazon-photos-cloud-drive/id621574163?mt=8&at=10laz6&ct=applist_free
2703,http://www.apppicker.com/applists/2703/the-best-photo-organization-apps-for-iphone-and-ipad,14/01/2016 1:00,11111111,http://itunes.apple.com/app/amazon-photos-cloud-drive/id621574163?mt=8&at=10laz6&ct=applist_free
